269,2003,MAINE,CORN,ACRES PLANTED,28000
270,2002,MAINE,CORN,ACRES PLANTED,29000
271,2001,MAINE,CORN,ACRES PLANTED,28000
272,2000,MAINE,CORN,ACRES PLANTED,29000
273,2015,MARYLAND,CORN,ACRES PLANTED,440000
274,2014,MARYLAND,CORN,ACRES PLANTED,500000
275,2013,MARYLAND,CORN,ACRES PLANTED,480000
276,2012,MARYLAND,CORN,ACRES PLANTED,495000
277,2011,MARYLAND,CORN,ACRES PLANTED,500000
278,2010,MARYLAND,CORN,ACRES PLANTED,500000
279,2009,MARYLAND,CORN,ACRES PLANTED,470000
280,2008,MARYLAND,CORN,ACRES PLANTED,460000
281,2007,MARYLAND,CORN,ACRES PLANTED,540000
282,2006,MARYLAND,CORN,ACRES PLANTED,490000
283,2005,MARYLAND,CORN,ACRES PLANTED,470000
284,2004,MARYLAND,CORN,ACRES PLANTED,490000
285,2003,MARYLAND,CORN,ACRES PLANTED,480000
286,2002,MARYLAND,CORN,ACRES PLANTED,510000
287,2001,MARYLAND,CORN,ACRES PLANTED,490000
288,2000,MARYLAND,CORN,ACRES PLANTED,480000
289,2015,MASSACHUSETTS,CORN,ACRES PLANTED,16000
290,2014,MASSACHUSETTS,CORN,ACRES PLANTED,16000
291,2013,MASSACHUSETTS,CORN,ACRES PLANTED,16000
292,2012,MASSACHUSETTS,CORN,ACRES PLANTED,16000
293,2011,MASSACHUSETTS,CORN,ACRES PLANTED,17000
294,2010,MASSACHUSETTS,CORN,ACRES PLANTED,17000
295,2009,MASSACHUSETTS,CORN,ACRES PLANTED,17000
296,2008,MASSACHUSETTS,CORN,ACRES PLANTED,19000
297,2007,MASSACHUSETTS,CORN,ACRES PLANTED,18000
298,2006,MASSACHUSETTS,CORN,ACRES PLANTED,18000
299,2005,MASSACHUSETTS,CORN,ACRES PLANTED,20000
300,2004,MASSACHUSETTS,CORN,ACRES PLANTED,20000
301,2003,MASSACHUSETTS,CORN,ACRES PLANTED,20000
302,2002,MASSACHUSETTS,CORN,ACRES PLANTED,22000
303,2001,MASSACHUSETTS,CORN,ACRES PLANTED,22000
304,2000,MASSACHUSETTS,CORN,ACRES PLANTED,25000
305,2015,MICHIGAN,CORN,ACRES PLANTED,2350000
306,2014,MICHIGAN,CORN,ACRES PLANTED,2550000
307,2013,MICHIGAN,CORN,ACRES PLANTED,2600000
308,2012,MICHIGAN,CORN,ACRES PLANTED,2700000
309,2011,MICHIGAN,CORN,ACRES PLANTED,2500000
310,2010,MICHIGAN,CORN,ACRES PLANTED,2400000
311,2009,MICHIGAN,CORN,ACRES PLANTED,2350000
312,2008,MICHIGAN,CORN,ACRES PLANTED,2400000
313,2007,MICHIGAN,CORN,ACRES PLANTED,2650000
314,2006,MICHIGAN,CORN,ACRES PLANTED,2200000
315,2005,MICHIGAN,CORN,ACRES PLANTED,2250000
316,2004,MICHIGAN,CORN,ACRES PLANTED,2200000
317,2003,MICHIGAN,CORN,ACRES PLANTED,2250000
318,2002,MICHIGAN,CORN,ACRES PLANTED,2250000
319,2001,MICHIGAN,CORN,ACRES PLANTED,2200000
320,2000,MICHIGAN,CORN,ACRES PLANTED,2200000
321,2015,MINNESOTA,CORN,ACRES PLANTED,8100000
322,2014,MINNESOTA,CORN,ACRES PLANTED,8200000
323,2013,MINNESOTA,CORN,ACRES PLANTED,8600000
324,2012,MINNESOTA,CORN,ACRES PLANTED,8750000
325,2011,MINNESOTA,CORN,ACRES PLANTED,8100000
326,2010,MINNESOTA,CORN,ACRES PLANTED,7700000
327,2009,MINNESOTA,CORN,ACRES PLANTED,7600000
328,2008,MINNESOTA,CORN,ACRES PLANTED,7700000
329,2007,MINNESOTA,CORN,ACRES PLANTED,8400000
330,2006,MINNESOTA,CORN,ACRES PLANTED,7300000
331,2005,MINNESOTA,CORN,ACRES PLANTED,7300000
332,2004,MINNESOTA,CORN,ACRES PLANTED,7500000
333,2003,MINNESOTA,CORN,ACRES PLANTED,7200000
334,2002,MINNESOTA,CORN,ACRES PLANTED,7200000
335,2001,MINNESOTA,CORN,ACRES PLANTED,6800000
336,2000,MINNESOTA,CORN,ACRES PLANTED,7200000
337,2015,MISSISSIPPI,CORN,ACRES PLANTED,510000
338,2014,MISSISSIPPI,CORN,ACRES PLANTED,510000
339,2013,MISSISSIPPI,CORN,ACRES PLANTED,860000
340,2012,MISSISSIPPI,CORN,ACRES PLANTED,820000
341,2011,MISSISSIPPI,CORN,ACRES PLANTED,810000
342,2010,MISSISSIPPI,CORN,ACRES PLANTED,750000
343,2009,MISSISSIPPI,CORN,ACRES PLANTED,730000
344,2008,MISSISSIPPI,CORN,ACRES PLANTED,720000
345,2007,MISSISSIPPI,CORN,ACRES PLANTED,930000
346,2006,MISSISSIPPI,CORN,ACRES PLANTED,340000
347,2005,MISSISSIPPI,CORN,ACRES PLANTED,380000
348,2004,MISSISSIPPI,CORN,ACRES PLANTED,460000
349,2003,MISSISSIPPI,CORN,ACRES PLANTED,550000
350,2002,MISSISSIPPI,CORN,ACRES PLANTED,550000
351,2001,MISSISSIPPI,CORN,ACRES PLANTED,400000
352,2000,MISSISSIPPI,CORN,ACRES PLANTED,390000
353,2015,MISSOURI,CORN,ACRES PLANTED,3250000
354,2014,MISSOURI,CORN,ACRES PLANTED,3500000
355,2013,MISSOURI,CORN,ACRES PLANTED,3350000
356,2012,MISSOURI,CORN,ACRES PLANTED,3600000
357,2011,MISSOURI,CORN,ACRES PLANTED,3300000
358,2010,MISSOURI,CORN,ACRES PLANTED,3150000
359,2009,MISSOURI,CORN,ACRES PLANTED,3000000
360,2008,MISSOURI,CORN,ACRES PLANTED,2800000
